World,Level,Meta,Puzzle No.,Puzzle,No. Possible,No. Required,ScrambleYN,Letter,Piece 1,Piece 2,Piece 3,Piece 4,Piece 5,Piece 6,Notes,Solution 1,Solution 2,Solution 3,Solution 4,Solution 5,Solution 6,Solution 7,Solution 8,Solution 9,Solution 10,Solution 11,Solution 12,Solution 13,Solution 14,Solution 15,Solution 16,No. Letters,No. Blanks,No. Repeat Ltr. Cubes,Full-length Freq.,Min. Freq.,Max. Freq.,No. Freq. 1,No. Freq. 2,No. Freq. 3,No. Freq. 4,No. Freq. 5,No. Freq. 6,No. Freq. 7,No. Freq. 8,No. Freq. 9,No. Freq. 10
,,,,HAPPENED,2,,,,HAP,PEN,ED ,,,,,HAPPEN,HAPPENED,,,,,,,,,,,,,,,8,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,,,,STEAMERS,3,,,, ST,EAM,ERS,,,,,AMEERS,STEAMERS,STEAM,,,,,,,,,,,,,,8,1,0,5,2,5,0,0,1,1,0,1,0,0,0,0
,,,,RESPIRES,3,,,, RE,SPI,RES,,,,,SPIRE,SPIRES,RESPIRES,,,,,,,,,,,,,,8,1,0,5,3,5,0,0,0,2,0,1,0,0,0,0
,,,,BRIEFEST,2,,,, BR,IEF,EST,,,,,BRIEFEST,BRIEF,,,,,,,,,,,,,,,8,1,0,3,1,3,0,1,0,1,0,0,0,0,0,0
,,,,TWIRL,2,,,, T,WI,RL,,,,,WIT,TWIRL,,,,,,,,,,,,,,,5,1,0,3,2,3,0,0,1,1,0,0,0,0,0,0
,,,,MINIMIZE,2,,,, MI,NIM,IZE,,,,,MINIMIZE,MINIM,,,,,,,,,,,,,,,8,1,0,2,2,5,0,0,1,0,0,1,0,0,0,0
,,,,STAMMERS,2,,,,STA,MME,RS ,,,,,STAMMERS,STARS,,,,,,,,,,,,,,,8,1,0,3,0,3,1,0,0,1,0,0,0,0,0,0
,,,,NITRITES,4,,,,NIT,RIT,ES ,,,,,NITES,TRIES,RITES,NITRITES,,,,,,,,,,,,,8,1,0,6,1,6,0,1,1,1,0,0,1,0,0,0
,,,,DECANTED,3,,,,DEC,ANT,ED ,,,,,DECANTED,DECANT,ANTED,,,,,,,,,,,,,,8,1,0,5,4,5,0,0,0,0,1,2,0,0,0,0
,,,,VESTS,3,,,,VE,ST,S ,,,,,VESTS,VEST,VETS,,,,,,,,,,,,,,5,1,0,3,3,3,0,0,0,3,0,0,0,0,0,0
,,,,DECANTER,3,,,, DE,CAN,TER,,,,,CANTER,DECANTER,DETER,,,,,,,,,,,,,,8,1,0,3,2,3,0,0,1,2,0,0,0,0,0,0
,,,,DISCO,4,,,, D,IS,CO,,,,,DOC,DISCO,COD,DIS,,,,,,,,,,,,,5,1,0,2,2,5,0,0,1,1,1,1,0,0,0,0
,,,,WIFELY,3,,,,WI,FE,LY,,,,,WIFELY,WILY,WIFE,,,,,,,,,,,,,,6,0,0,5,0,5,1,0,0,1,0,1,0,0,0,0
,,,,ERGO,4,,,,ER,GO,,,,,,OGRE,ERGO,GORE,GOER,,,,,,,,,,,,,4,2,0,2,2,6,0,0,1,2,0,0,1,0,0,0
,,,,LAUGHTER,3,,,, LA,UGH,TER,,,,,LATER,LAUGHTER,LAUGH,,,,,,,,,,,,,,8,1,0,2,0,2,1,0,2,0,0,0,0,0,0,0
,,,,SMITHY,2,,,,SM,IT,HY,,,,,SMITHY,SMIT,,,,,,,,,,,,,,,6,0,0,5,3,5,0,0,0,1,0,1,0,0,0,0
,,,,APPENDIX,2,,,,APP,END,IX ,,,,,APPENDIX,APPEND,,,,,,,,,,,,,,,8,1,0,2,2,2,0,0,2,0,0,0,0,0,0,0
,,,,ARTS,4,,,,AR,TS,,,,,,STAR,ARTS,RATS,TSAR,,,,,,,,,,,,,4,2,0,2,2,3,0,0,3,1,0,0,0,0,0,0
,,,,MEMBER,2,,,,ME,MB,ER,,,,,MEMBER,MERE,,,,,,,,,,,,,,,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,,,,ROTUNDAS,3,,,,ROT,UND,AS ,,,,,ROTUND,ROTAS,ROTUNDAS,,,,,,,,,,,,,,8,1,0,3,3,6,0,0,0,2,0,0,1,0,0,0
,,,,LOUIS,2,,,,LO,UI,S ,,,,,LOUIS,SOL,,,,,,,,,,,,,,,5,1,0,5,5,5,0,0,0,0,0,2,0,0,0,0
,,,,COPRA,4,,,, C,OP,RA,,,,,COPRA,COP,ARC,CAR,,,,,,,,,,,,,5,1,0,5,0,5,1,0,1,1,0,1,0,0,0,0
,,,,ITCHY,3,,,,IT,CH,Y ,,,,,ITCHY,CHIT,ITCH,,,,,,,,,,,,,,5,1,0,3,3,4,0,0,0,2,1,0,0,0,0,0
,,,,PROFITED,3,,,,PRO,FIT,ED ,,,,,PROFIT,PROFITED,ROPED,,,,,,,,,,,,,,8,1,0,3,2,3,0,0,1,2,0,0,0,0,0,0
,,,,SUSTAINS,2,,,, SU,STA,INS,,,,,STAINS,SUSTAINS,,,,,,,,,,,,,,,8,1,0,2,2,3,0,0,1,1,0,0,0,0,0,0
,,,,BEAUTIFY,2,,,, BE,AUT,IFY,,,,,BEAUTIFY,BEAUT,,,,,,,,,,,,,,,8,1,0,3,3,6,0,0,0,1,0,0,1,0,0,0
,,,,WAVER,5,,,,WA,VE,R ,,,,,RAW,REV,WAR,WAVER,WAVE,,,,,,,,,,,,5,1,0,3,0,3,1,1,1,2,0,0,0,0,0,0
,,,,SNIFFIER,3,,,, SN,IFF,IER,,,,,SNIFFIER,SNIFF,IFFIER,,,,,,,,,,,,,,8,1,0,6,2,6,0,0,1,0,1,0,1,0,0,0
,,,,SKULLCAP,2,,,, SK,ULL,CAP,,,,,SKULLCAP,SKULL,,,,,,,,,,,,,,,8,1,0,4,2,4,0,0,1,0,1,0,0,0,0,0
,,,,LIVELONG,2,,,, LI,VEL,ONG,,,,,LIVELONG,LINGO,,,,,,,,,,,,,,,8,1,0,5,3,5,0,0,0,1,0,1,0,0,0,0
,,,,DEVISING,2,,,, DE,VIS,ING,,,,,VISING,DEVISING,,,,,,,,,,,,,,,8,1,0,2,2,3,0,0,1,1,0,0,0,0,0,0
,,,,DIGGINGS,2,,,, DI,GGI,NGS,,,,,DIGGINGS,DINGS,,,,,,,,,,,,,,,8,1,0,6,5,6,0,0,0,0,0,1,1,0,0,0
,,,,LOGGED,2,,,,LO,GG,ED,,,,,LOGGED,LODE,,,,,,,,,,,,,,,6,0,1,1,1,5,0,1,0,0,0,1,0,0,0,0
,,,,DISCRETE,2,,,, DI,SCR,ETE,,,,,DISCRETE,DISCREET,,,,,,,,,,,,,,,8,1,0,2,2,3,0,0,1,1,0,0,0,0,0,0
,,,,LOGGER,2,,,,LO,GG,ER,,,,,LORE,LOGGER,,,,,,,,,,,,,,,6,0,1,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,RESERVED,2,,,, RE,SER,VED,,,,,SERVED,RESERVED,,,,,,,,,,,,,,,8,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0
,,,,FATWAS,2,,,,FA,TW,AS,,,,,FATWAS,TWAS,,,,,,,,,,,,,,,6,0,0,6,6,6,0,0,0,0,0,0,2,0,0,0
,,,,FOUNT,4,,,,FO,UN,T ,,,,,FOUNT,NUT,TUN,OFT,,,,,,,,,,,,,5,1,0,3,2,5,0,0,1,1,0,2,0,0,0,0
,,,,DYNAMO,2,,,,DY,NA,MO,,,,,DYNAMO,MOAN,,,,,,,,,,,,,,,6,0,0,3,2,3,0,0,1,1,0,0,0,0,0,0
,,,,OWN,3,,,,OW,N ,,,,,,OWN,WON,NOW,,,,,,,,,,,,,,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
,,,,FOUND,2,,,,FO,UN,D ,,,,,FOUND,DUN,,,,,,,,,,,,,,,5,1,0,0,0,5,1,0,0,0,0,1,0,0,0,0
,,,,ADZES,6,,,,AD,ZE,S ,,,,,DAZES,ADS,ADZE,ADZES,SAD,DAZE,,,,,,,,,,,5,1,0,3,1,5,0,1,0,3,0,2,0,0,0,0
,,,,LAGOON,3,,,,LA,GO,ON,,,,,GOON,GOAL,LAGOON,,,,,,,,,,,,,,6,0,0,3,2,3,0,0,1,2,0,0,0,0,0,0
,,,,TABLAS,2,,,,TA,BL,AS,,,,,BLAT,TABLAS,,,,,,,,,,,,,,,6,0,0,6,5,6,0,0,0,0,0,1,1,0,0,0
,,,,PINYIN,2,,,,PI,NY,IN,,,,,PINYIN,PINY,,,,,,,,,,,,,,,6,0,0,6,6,6,0,0,0,0,0,0,2,0,0,0
,,,,PITCHERS,3,,,, PI,TCH,ERS,,,,,PITCHERS,PIERS,PITCH,,,,,,,,,,,,,,8,1,0,3,2,3,0,0,1,2,0,0,0,0,0,0
,,,,EVERMORE,2,,,,EVE,RMO,RE ,,,,,EVERMORE,REEVE,,,,,,,,,,,,,,,8,1,0,3,3,5,0,0,0,1,0,1,0,0,0,0
,,,,BOOST,4,,,,BO,OS,T ,,,,,BOOST,BOOS,BOT,SOT,,,,,,,,,,,,,5,1,0,2,2,5,0,0,1,1,0,2,0,0,0,0
,,,,STEPSONS,2,,,, ST,EPS,ONS,,,,,STEPS,STEPSONS,,,,,,,,,,,,,,,8,1,0,4,2,4,0,0,1,0,1,0,0,0,0,0
,,,,MANGIEST,3,,,, MA,NGI,EST,,,,,MANGIEST,MATES,INGEST,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,3,0,0,0,0,0,0
,,,,ONYXES,6,,,,ON,YX,ES,,,,,ONYXES,NOES,ONYX,ONES,NOSE,SEXY,,,,,,,,,,,6,0,0,5,0,5,1,1,1,1,0,2,0,0,0,0
,,,,MENSA,4,,,, M,EN,SA,,,,,MAS,MEN,SANE,MENSA,,,,,,,,,,,,,5,1,0,5,0,5,1,0,1,1,0,1,0,0,0,0
,,,,FOETUS,2,,,,FO,ET,US,,,,,SUET,FOETUS,,,,,,,,,,,,,,,6,0,0,3,3,5,0,0,0,1,0,1,0,0,0,0
,,,,REVERSED,3,,,, RE,VER,SED,,,,,REVERSED,REEDS,VERSED,,,,,,,,,,,,,,8,1,0,2,2,3,0,0,1,2,0,0,0,0,0,0
,,,,LOSING,5,,,,LO,SI,NG,,,,,LOSING,SING,SIGN,LONG,SILO,,,,,,,,,,,,6,0,0,1,0,3,3,1,0,1,0,0,0,0,0,0
,,,,FORFEITS,2,,,,FOR,FEI,TS ,,,,,FORFEITS,FORTS,,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,SULLENER,2,,,,SUL,LEN,ER ,,,,,SULLEN,SULLENER,,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,SADDLE,3,,,,SA,DD,LE,,,,,LEAS,SALE,SADDLE,,,,,,,,,,,,,,6,0,1,3,1,5,0,1,0,1,0,1,0,0,0,0
,,,,COOLER,5,,,,CO,OL,ER,,,,,LORE,CORE,LOCO,COOLER,COOL,,,,,,,,,,,,6,0,0,3,0,5,1,1,0,2,0,1,0,0,0,0
,,,,TOXICITY,2,,,, TO,XIC,ITY,,,,,TOXIC,TOXICITY,,,,,,,,,,,,,,,8,1,0,4,3,4,0,0,0,1,1,0,0,0,0,0
,,,,WETLANDS,2,,,, WE,TLA,NDS,,,,,WETLANDS,WENDS,,,,,,,,,,,,,,,8,1,0,5,5,5,0,0,0,0,0,2,0,0,0,0
,,,,BEEHIVES,2,,,,BEE,HIV,ES ,,,,,HIVES,BEEHIVES,,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,MOTORING,2,,,, MO,TOR,ING,,,,,MOTORING,MOTOR,,,,,,,,,,,,,,,8,1,0,3,2,3,0,0,1,1,0,0,0,0,0,0
,,,,CASHLESS,2,,,, CA,SHL,ESS,,,,,CASES,CASHLESS,,,,,,,,,,,,,,,8,1,0,6,1,6,0,1,0,0,0,0,1,0,0,0
,,,,LOAFED,5,,,,LO,AF,ED,,,,,LOAF,DEAF,FADE,LODE,LOAFED,,,,,,,,,,,,6,0,0,3,2,5,0,0,1,3,0,1,0,0,0,0
,,,,MEDIA,4,,,,ME,DI,A ,,,,,AID,IDEM,MEDIA,DIME,,,,,,,,,,,,,5,1,0,1,1,6,0,2,0,1,0,0,1,0,0,0
,,,,HANGINGS,2,,,,HAN,GIN,GS ,,,,,HANGINGS,HANGS,,,,,,,,,,,,,,,8,1,0,3,1,3,0,1,0,1,0,0,0,0,0,0
,,,,LOAFER,4,,,,LO,AF,ER,,,,,LORE,FARE,LOAF,LOAFER,,,,,,,,,,,,,6,0,0,3,2,3,0,0,1,3,0,0,0,0,0,0
,,,,SIGNED,6,,,,SI,GN,ED,,,,,SINGED,SIGNED,SIGN,DESIGN,SING,SIDE,,,,,,,,,,,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
,,,,SIGNER,7,,,,SI,GN,ER,,,,,SINGER,SIRE,REIS,RESIGN,SIGN,SIGNER,SING,,,,,,,,,,6,0,0,2,0,3,2,0,2,3,0,0,0,0,0,0
,,,,CAPTIVES,2,,,, CA,PTI,VES,,,,,CAPTIVES,CAVES,,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,SIGNET,4,,,,SI,GN,ET,,,,,SING,SITE,SIGNET,SIGN,,,,,,,,,,,,,6,0,0,5,0,5,2,1,0,0,0,1,0,0,0,0
,,,,DARNEDER,3,,,,DAR,NED,ER ,,,,,DARNED,DARER,DARNEDER,,,,,,,,,,,,,,8,1,0,4,3,6,0,0,0,1,1,0,1,0,0,0
,,,,CREDENCE,2,,,, CR,EDE,NCE,,,,,CREED,CREDENCE,,,,,,,,,,,,,,,8,1,0,3,2,3,0,0,1,1,0,0,0,0,0,0
,,,,DETOXING,2,,,, DE,TOX,ING,,,,,DETOXING,DETOX,,,,,,,,,,,,,,,8,1,0,4,4,4,0,0,0,0,2,0,0,0,0,0
,,,,OARING,2,,,,OA,RI,NG,,,,,RING,OARING,,,,,,,,,,,,,,,6,0,0,3,0,3,1,0,0,1,0,0,0,0,0,0
,,,,INVENTOR,3,,,,INV,ENT,OR ,,,,,INVENTOR,INVENT,TENOR,,,,,,,,,,,,,,8,1,0,2,1,3,0,1,1,1,0,0,0,0,0,0
,,,,SYPHONED,3,,,,SYP,HON,ED ,,,,,SYPHONED,SYPHON,HONED,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,3,0,0,0,0,0,0
,,,,FOXTROTS,2,,,,FOX,TRO,TS ,,,,,FOXTROTS,TROTS,,,,,,,,,,,,,,,8,1,0,4,3,4,0,0,0,1,1,0,0,0,0,0
,,,,EVICTING,2,,,, EV,ICT,ING,,,,,EVICTING,EVICT,,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,SPAN,2,,,,SP,AN,,,,,,NAPS,SPAN,,,,,,,,,,,,,,,4,2,0,2,2,3,0,0,1,1,0,0,0,0,0,0
,,,,GRACE,4,,,, G,RA,CE,,,,,RAG,RACE,GAR,GRACE,,,,,,,,,,,,,5,1,0,2,0,6,1,0,2,0,0,0,1,0,0,0
,,,,CHINTZ,3,,,,CH,IN,TZ,,,,,INCH,CHINTZ,CHIN,,,,,,,,,,,,,,6,0,0,3,1,3,0,1,0,2,0,0,0,0,0,0
,,,,SPAY,2,,,,SP,AY,,,,,,SPAY,YAPS,,,,,,,,,,,,,,,4,2,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,SPAR,3,,,,SP,AR,,,,,,SPAR,RAPS,RASP,,,,,,,,,,,,,,4,2,0,3,3,3,0,0,0,3,0,0,0,0,0,0
,,,,SPAT,2,,,,SP,AT,,,,,,TAPS,SPAT,,,,,,,,,,,,,,,4,2,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,PANPIPES,3,,,,PAN,PIP,ES ,,,,,PANES,PANPIPES,PIPES,,,,,,,,,,,,,,8,1,0,6,2,6,0,0,1,1,0,0,1,0,0,0
,,,,PURIFIER,2,,,,PUR,IFI,ER ,,,,,PURER,PURIFIER,,,,,,,,,,,,,,,8,1,0,5,3,5,0,0,0,1,0,1,0,0,0,0
,,,,SEAWEEDS,2,,,, SE,AWE,EDS,,,,,SEEDS,SEAWEEDS,,,,,,,,,,,,,,,8,1,0,6,0,6,1,0,0,0,0,0,1,0,0,0
,,,,LABORERS,4,,,, LA,BOR,ERS,,,,,LABORERS,LASER,BORERS,LABOR,,,,,,,,,,,,,8,1,0,3,1,5,0,1,1,1,0,1,0,0,0,0
,,,,ARTERY,3,,,,AR,TE,RY,,,,,TEAR,ARTERY,RATE,,,,,,,,,,,,,,6,0,0,3,0,3,1,0,1,1,0,0,0,0,0,0
,,,,MUGWUMPS,2,,,, MU,GWU,MPS,,,,,MUMPS,MUGWUMPS,,,,,,,,,,,,,,,8,1,0,6,3,6,0,0,0,1,0,0,1,0,0,0
,,,,GENOAS,2,,,,GE,NO,AS,,,,,SAGE,GENOAS,,,,,,,,,,,,,,,6,0,0,5,3,5,0,0,0,1,0,1,0,0,0,0
,,,,SKILLS,3,,,,SK,IL,LS,,,,,SKILLS,ILLS,ILKS,,,,,,,,,,,,,,6,0,0,1,1,5,0,1,0,1,0,1,0,0,0,0
,,,,RIVERBED,2,,,,RIV,ERB,ED ,,,,,RIVERBED,RIVED,,,,,,,,,,,,,,,8,1,0,4,4,6,0,0,0,0,1,0,1,0,0,0
,,,,SMEARIER,2,,,, SM,EAR,IER,,,,,SMEAR,SMEARIER,,,,,,,,,,,,,,,8,1,0,6,3,6,0,0,0,1,0,0,1,0,0,0
,,,,GYBED,4,,,,GY,BE,D ,,,,,DEB,GYBE,GYBED,BED,,,,,,,,,,,,,5,1,0,3,0,5,1,0,0,2,0,1,0,0,0,0
,,,,LIVE,3,,,,LI,VE,,,,,,LIVE,VEIL,EVIL,,,,,,,,,,,,,,4,2,0,0,0,3,1,0,1,1,0,0,0,0,0,0
,,,,HOCKSHOP,2,,,, HO,CKS,HOP,,,,,HOCKS,HOCKSHOP,,,,,,,,,,,,,,,8,1,0,5,3,5,0,0,0,1,0,1,0,0,0,0
,,,,MAWS,2,,,,MA,WS,,,,,,MAWS,SWAM,,,,,,,,,,,,,,,4,2,0,2,2,5,0,0,1,0,0,1,0,0,0,0
,,,,CALMS,5,,,, C,AL,MS,,,,,LAMS,CLAMS,LAC,CALMS,ALMS,,,,,,,,,,,,5,1,0,3,3,6,0,0,0,3,0,1,1,0,0,0
,,,,ROMANCED,2,,,, RO,MAN,CED,,,,,ROMANCED,ROMAN,,,,,,,,,,,,,,,8,1,0,3,2,3,0,0,1,1,0,0,0,0,0,0
,,,,FLORENCE,2,,,, FL,ORE,NCE,,,,,FLORENCE,ENCORE,,,,,,,,,,,,,,,8,1,0,5,3,5,0,0,0,1,0,1,0,0,0,0
,,,,ROMANCES,2,,,,ROM,ANC,ES ,,,,,CANES,ROMANCES,,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,ROMANCER,2,,,,ROM,ANC,ER ,,,,,CANER,ROMANCER,,,,,,,,,,,,,,,8,1,0,6,6,6,0,0,0,0,0,0,2,0,0,0
,,,,EVADED,2,,,,EV,AD,ED,,,,,EVADED,DEAD,,,,,,,,,,,,,,,6,0,0,3,0,3,1,0,0,1,0,0,0,0,0,0
,,,,EVADER,5,,,,EV,AD,ER,,,,,READ,EVER,DARE,VEER,EVADER,,,,,,,,,,,,6,0,0,6,0,6,2,1,0,1,0,0,1,0,0,0
,,,,SORTIE,2,,,,SO,RT,IE,,,,,SORT,SORTIE,,,,,,,,,,,,,,,6,0,0,5,1,5,0,1,0,0,0,1,0,0,0,0
,,,,USEFULLY,3,,,,USE,FUL,LY ,,,,,FULLY,USEFUL,USEFULLY,,,,,,,,,,,,,,8,1,0,2,1,2,0,2,1,0,0,0,0,0,0,0
,,,,FLAREUPS,2,,,, FL,ARE,UPS,,,,,FLARE,FLAREUPS,,,,,,,,,,,,,,,8,1,0,6,3,6,0,0,0,1,0,0,1,0,0,0
,,,,CRESTING,3,,,, CR,EST,ING,,,,,CREST,INGEST,CRESTING,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,3,0,0,0,0,0,0
,,,,HERDSMAN,2,,,, HE,RDS,MAN,,,,,HERDSMAN,HERDS,,,,,,,,,,,,,,,8,1,0,5,3,5,0,0,0,1,0,1,0,0,0,0
,,,,LAMBED,4,,,,LA,MB,ED,,,,,LAMB,LADE,DEAL,LAMBED,,,,,,,,,,,,,6,0,0,3,0,3,1,0,0,3,0,0,0,0,0,0
,,,,PRANCING,2,,,,PRA,NCI,NG ,,,,,PRANG,PRANCING,,,,,,,,,,,,,,,8,1,0,3,3,6,0,0,0,1,0,0,1,0,0,0
,,,,FACETING,3,,,, FA,CET,ING,,,,,FACET,FAGIN,FACETING,,,,,,,,,,,,,,8,1,0,3,3,5,0,0,0,2,0,1,0,0,0,0
,,,,UNTIE,4,,,,UN,TI,E ,,,,,TIE,UNTIE,UNITE,UNIT,,,,,,,,,,,,,5,1,0,1,0,3,1,2,0,1,0,0,0,0,0,0
,,,,UNTIL,4,,,,UN,TI,L ,,,,,TIL,LIT,UNTIL,UNIT,,,,,,,,,,,,,5,1,0,0,0,6,2,0,1,0,0,0,1,0,0,0
,,,,HAMPERED,2,,,,HAM,PER,ED ,,,,,HAMPERED,HAMPER,,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,FACTOR,3,,,,FA,CT,OR,,,,,FARO,FACT,FACTOR,,,,,,,,,,,,,,6,0,0,1,0,6,1,1,0,0,0,0,1,0,0,0
,,,,GAMETE,6,,,,GA,ME,TE,,,,,GAMETE,TEEM,METE,GAME,GATE,MEET,,,,,,,,,,,6,0,0,5,0,5,2,0,1,2,0,1,0,0,0,0
,,,,BAULKING,2,,,, BA,ULK,ING,,,,,BAULKING,BAULK,,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,BLUNTING,3,,,, BL,UNT,ING,,,,,BLUNT,TUNING,BLUNTING,,,,,,,,,,,,,,8,1,0,3,2,3,0,0,1,2,0,0,0,0,0,0
,,,,OBSCENER,2,,,,OBS,CEN,ER ,,,,,SOBER,OBSCENER,,,,,,,,,,,,,,,8,1,0,3,2,3,0,0,1,1,0,0,0,0,0,0
,,,,HACKSAWS,2,,,, HA,CKS,AWS,,,,,HACKSAWS,HACKS,,,,,,,,,,,,,,,8,1,0,3,2,3,0,0,1,1,0,0,0,0,0,0
,,,,PIGSTY,3,,,,PI,GS,TY,,,,,PITY,PIGS,PIGSTY,,,,,,,,,,,,,,6,0,0,4,2,4,0,0,2,0,1,0,0,0,0,0
,,,,QUOIN,2,,,,QU,OI,N ,,,,,ION,QUOIN,,,,,,,,,,,,,,,5,1,0,6,2,6,0,0,1,0,0,0,1,0,0,0
,,,,TURNOFFS,2,,,,TUR,NOF,FS ,,,,,TURFS,TURNOFFS,,,,,,,,,,,,,,,8,1,0,5,3,5,0,0,0,1,0,1,0,0,0,0
,,,,FLEETING,4,,,, FL,EET,ING,,,,,FLEETING,FLEET,TEEING,FLING,,,,,,,,,,,,,8,1,0,3,2,3,0,0,1,3,0,0,0,0,0,0
,,,,WIDTHS,2,,,,WI,DT,HS,,,,,WISH,WIDTHS,,,,,,,,,,,,,,,6,0,0,3,0,3,1,0,0,1,0,0,0,0,0,0
,,,,QUALM,2,,,,QU,AL,M ,,,,,LAM,QUALM,,,,,,,,,,,,,,,5,1,0,3,3,5,0,0,0,1,0,1,0,0,0,0
,,,,REASSURE,2,,,, RE,ASS,URE,,,,,ASSURE,REASSURE,,,,,,,,,,,,,,,8,1,0,2,0,2,1,0,1,0,0,0,0,0,0,0
,,,,FRIGATES,3,,,,FRI,GAT,ES ,,,,,GATES,FRIES,FRIGATES,,,,,,,,,,,,,,8,1,0,3,1,3,0,1,1,1,0,0,0,0,0,0
,,,,DICTATED,2,,,,DIC,TAT,ED ,,,,,DICED,DICTATED,,,,,,,,,,,,,,,8,1,0,3,3,3,0,0,0,2,0,0,0,0,0,0
,,,,VIPEROUS,2,,,, VI,PER,OUS,,,,,VIPEROUS,VIPER,,,,,,,,,,,,,,,8,1,0,6,3,6,0,0,0,1,0,0,1,0,0,0
