World,Level,Meta,Letter,Puzzle No.,Puzzle,No. Possible,No. Required,ScrambleYN,Piece 1,Piece 2,Piece 3,Piece 4,Piece 5,Piece 6,Notes,Solution 1,Solution 2,Solution 3,Solution 4,Solution 5,Solution 6,Solution 7,Solution 8,Solution 9,Solution 10,Solution 11,Solution 12,Solution 13,Solution 14,Solution 15,Solution 16,Max. Freq.,Full-length Freq.,No. Letters,No. Blanks,No. Repeat Ltr. Cubes,Min. Freq.,No. Freq. 1,No. Freq. 2,No. Freq. 3,No. Freq. 4,No. Freq. 5,No. Freq. 6,No. Freq. 7,No. Freq. 8,No. Freq. 9,No. Freq. 10,,,,,,
1,4,puzzle,Z,3,PRIZE,2,2,y, P,RI,ZE,,,,,PRIZE,RIP,,,,,,,,,,,,,,,3,3,5,1,0,3,0,0,2,0,0,0,0,0,0,0,,,,,,
1,4,puzzle,U,4,CLUES,3,2,y,CL,UE,S ,,,,,SUE,CLUES,CLUE,,,,,,,,,,,,,,3,3,5,1,0,1,1,1,1,0,0,0,0,0,0,0,,,,,,
1,4,puzzle,P,5,PIECE,4,2,y, P,IE,CE,,,,,PIECE,PEC,PIE,CEP,,,,,,,,,,,,,9,1,5,1,0,1,1,0,1,0,0,0,0,1,1,0,,,,,,
1,4,puzzle,Z,6,CRAZY,3,2,y, C,RA,ZY,,,,,CAR,CRAZY,ARC,,,,,,,,,,,,,,3,2,5,1,0,1,1,1,1,0,0,0,0,0,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,mystery,Y,1,LUCKY,2,2,y,LU,CK,Y ,,,,,LUCKY,LUCK,,,,,,,,,,,,,,,2,2,5,1,0,2,0,2,0,0,0,0,0,0,0,0,,,,,,
1,5,mystery,Y,2,MISTY,4,2,y,MI,ST,Y ,,,,,MISTY,MIST,STY,STIMY,,,,,,,,,,,,,9,4,5,1,0,3,0,0,1,1,0,1,0,0,1,0,,,,,,
1,5,mystery,R,3,POWER,2,2,y,P,OW,ER,,,,,POWER,POW,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1,5,mystery,M,4,MYTHS,2,2,n,MY,TH,S ,,,,,MYTHS,MYTH,,,,,,,,,,,,,,,3,3,5,1,0,3,0,0,2,0,0,0,0,0,0,0,,,,,,
1,5,mystery,E,5,WORKED,3,2,y,WO,RK,ED,,,,,OWED,WORKED,WORK,,,,,,,,,,,,,,2,2,6,0,0,1,1,2,0,0,0,0,0,0,0,0,,,,,,
1,5,mystery,T,6,SECRET,3,1,y,SE,CR,ET,,,,,TERCES,SECRET,TEES,,,,,,,,,,,,,,8,2,6,0,0,2,0,1,0,1,0,0,0,1,0,0,,,,,,
1,5,mystery,S,7,ROADS,2,2,y,R,OA,DS,,,,,ROADS,OAR,,,,,,,,,,,,,,,9,3,5,1,0,1,1,1,1,1,0,0,0,0,2,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,resin,R,1,TIRING,3,3,y,TI,RI,NG,,,,,TING,RING,TIRING,,,,,,,,,,,,,,4,3,6,0,0,1,1,0,1,1,0,0,0,0,0,0,,,,,,
1,6,resin,S,2,GUMS,2,2,y,GU,MS,,,,,,GUMS,SMUG,,,,,,,,,,,,,,,4,3,4,2,0,3,0,0,1,1,0,0,0,0,0,0,,,,,,
1,6,resin,E,3,UNLESS,2,2,y,UN,LE,SS,,,,,UNLESS,LESS,,,,,,,,,,,,,,,1,1,6,0,1,1,2,0,0,0,0,0,0,0,0,0,,,,,,
1,6,resin,I,4,SOLIDS,5,3,y,SO,LI,DS,,,,,SOIL,SOLIDS,SODS,LIDS,SOLI,,,,,,,,,,,,4,4,6,0,0,1,1,0,0,4,0,0,0,0,0,0,,,,,,
1,6,resin,N,5,WINDOW,2,2,y,WI,ND,OW,,,,,WINDOW,WIND,,,,,,,,,,,,,,,1,1,6,0,0,1,2,0,0,0,0,0,0,0,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
